__main__ - INFO - Loaded 1211 DPO samples.
__main__ - INFO - epoch=0 step=7 loss=0.693147 margin=0.000000 preference_accuracy=0.0000
__main__ - INFO - epoch=0 step=15 loss=0.688536 margin=0.020339 preference_accuracy=0.3750
__main__ - INFO - epoch=0 step=23 loss=0.668922 margin=0.055276 preference_accuracy=0.5000
__main__ - INFO - epoch=0 step=31 loss=0.640151 margin=0.111911 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=39 loss=0.676651 margin=0.042604 preference_accuracy=0.6250
__main__ - INFO - epoch=0 step=47 loss=0.643026 margin=0.114078 preference_accuracy=0.6250
__main__ - INFO - epoch=0 step=55 loss=0.709034 margin=-0.022957 preference_accuracy=0.5000
__main__ - INFO - epoch=0 step=63 loss=0.719971 margin=-0.034924 preference_accuracy=0.5000
__main__ - INFO - epoch=0 step=71 loss=0.659236 margin=0.077976 preference_accuracy=0.7500
__main__ - INFO - epoch=0 step=79 loss=0.704214 margin=-0.016887 preference_accuracy=0.5000
__main__ - INFO - epoch=0 step=87 loss=0.709408 margin=-0.028324 preference_accuracy=0.5000
__main__ - INFO - epoch=0 step=95 loss=0.645024 margin=0.101773 preference_accuracy=0.7500
__main__ - INFO - epoch=0 step=103 loss=0.674490 margin=0.042857 preference_accuracy=0.5000
__main__ - INFO - epoch=0 step=111 loss=0.643523 margin=0.125051 preference_accuracy=0.6250
__main__ - INFO - epoch=0 step=119 loss=0.626955 margin=0.151463 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=127 loss=0.707087 margin=-0.023485 preference_accuracy=0.5000
__main__ - INFO - epoch=0 step=135 loss=0.672227 margin=0.047163 preference_accuracy=0.6250
__main__ - INFO - epoch=0 step=143 loss=0.712173 margin=-0.032462 preference_accuracy=0.3750
__main__ - INFO - epoch=0 step=151 loss=0.644832 margin=0.104881 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=159 loss=0.678793 margin=0.033825 preference_accuracy=0.7500
__main__ - INFO - epoch=0 step=167 loss=0.696679 margin=-0.001826 preference_accuracy=0.5000
__main__ - INFO - epoch=0 step=175 loss=0.605408 margin=0.202702 preference_accuracy=0.6250
__main__ - INFO - epoch=0 step=183 loss=0.640719 margin=0.116535 preference_accuracy=0.6250
__main__ - INFO - epoch=0 step=191 loss=0.679388 margin=0.041974 preference_accuracy=0.6250
__main__ - INFO - epoch=0 step=199 loss=0.641838 margin=0.108764 preference_accuracy=0.7500
__main__ - INFO - epoch=0 step=207 loss=0.682498 margin=0.036867 preference_accuracy=0.5000
__main__ - INFO - epoch=0 step=215 loss=0.715066 margin=-0.032795 preference_accuracy=0.6250
__main__ - INFO - epoch=0 step=223 loss=0.610970 margin=0.189738 preference_accuracy=0.7500
__main__ - INFO - epoch=0 step=231 loss=0.682000 margin=0.035536 preference_accuracy=0.5000
__main__ - INFO - epoch=0 step=239 loss=0.632965 margin=0.133982 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=247 loss=0.590998 margin=0.221867 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=255 loss=0.655828 margin=0.084412 preference_accuracy=0.6250
__main__ - INFO - epoch=0 step=263 loss=0.651375 margin=0.109375 preference_accuracy=0.7500
__main__ - INFO - epoch=0 step=271 loss=0.577114 margin=0.263122 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=279 loss=0.620794 margin=0.156311 preference_accuracy=0.7500
__main__ - INFO - epoch=0 step=287 loss=0.566378 margin=0.277755 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=295 loss=0.678706 margin=0.034002 preference_accuracy=0.5000
__main__ - INFO - epoch=0 step=303 loss=0.627114 margin=0.141511 preference_accuracy=0.7500
__main__ - INFO - epoch=0 step=311 loss=0.539769 margin=0.352009 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=319 loss=0.581747 margin=0.245793 preference_accuracy=0.7500
__main__ - INFO - epoch=0 step=327 loss=0.628830 margin=0.137172 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=335 loss=0.625334 margin=0.169684 preference_accuracy=0.6250
__main__ - INFO - epoch=0 step=343 loss=0.546675 margin=0.340856 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=351 loss=0.613416 margin=0.190079 preference_accuracy=0.6250
__main__ - INFO - epoch=0 step=359 loss=0.594462 margin=0.230700 preference_accuracy=0.7500
__main__ - INFO - epoch=0 step=367 loss=0.597184 margin=0.226594 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=375 loss=0.526717 margin=0.372949 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=383 loss=0.574057 margin=0.262697 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=391 loss=0.598357 margin=0.210191 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=399 loss=0.654612 margin=0.086230 preference_accuracy=0.6250
__main__ - INFO - epoch=0 step=407 loss=0.569727 margin=0.283039 preference_accuracy=0.7500
__main__ - INFO - epoch=0 step=415 loss=0.617276 margin=0.174239 preference_accuracy=0.6250
__main__ - INFO - epoch=0 step=423 loss=0.614147 margin=0.170128 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=431 loss=0.554786 margin=0.310174 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=439 loss=0.525222 margin=0.377729 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=447 loss=0.552019 margin=0.311726 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=455 loss=0.563925 margin=0.280205 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=463 loss=0.596606 margin=0.213162 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=471 loss=0.533444 margin=0.361171 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=479 loss=0.555768 margin=0.307877 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=487 loss=0.587791 margin=0.229338 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=495 loss=0.604031 margin=0.212051 preference_accuracy=0.6250
__main__ - INFO - epoch=0 step=503 loss=0.627870 margin=0.146012 preference_accuracy=0.6250
__main__ - INFO - epoch=0 step=511 loss=0.575631 margin=0.260741 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=519 loss=0.562645 margin=0.284282 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=527 loss=0.557830 margin=0.317666 preference_accuracy=0.7500
__main__ - INFO - epoch=0 step=535 loss=0.524551 margin=0.375621 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=543 loss=0.504167 margin=0.426512 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=551 loss=0.570162 margin=0.271642 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=559 loss=0.570548 margin=0.293281 preference_accuracy=0.7500
__main__ - INFO - epoch=0 step=567 loss=0.553609 margin=0.311303 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=575 loss=0.519342 margin=0.386211 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=583 loss=0.557363 margin=0.305566 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=591 loss=0.595880 margin=0.216352 preference_accuracy=0.7500
__main__ - INFO - epoch=0 step=599 loss=0.638888 margin=0.129885 preference_accuracy=0.5000
__main__ - INFO - epoch=0 step=607 loss=0.558219 margin=0.304814 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=615 loss=0.550093 margin=0.344677 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=623 loss=0.559127 margin=0.291461 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=631 loss=0.459656 margin=0.546030 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=639 loss=0.592055 margin=0.227518 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=647 loss=0.611002 margin=0.178920 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=655 loss=0.542994 margin=0.332722 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=663 loss=0.456127 margin=0.557124 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=671 loss=0.536846 margin=0.352091 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=679 loss=0.557674 margin=0.311650 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=687 loss=0.520374 margin=0.401052 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=695 loss=0.665644 margin=0.077078 preference_accuracy=0.6250
__main__ - INFO - epoch=0 step=703 loss=0.522393 margin=0.383438 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=711 loss=0.527143 margin=0.392683 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=719 loss=0.554673 margin=0.322741 preference_accuracy=0.7500
__main__ - INFO - epoch=0 step=727 loss=0.512789 margin=0.413823 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=735 loss=0.527009 margin=0.380711 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=743 loss=0.548546 margin=0.330738 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=751 loss=0.535059 margin=0.376431 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=759 loss=0.485057 margin=0.492049 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=767 loss=0.540330 margin=0.366774 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=775 loss=0.454463 margin=0.585775 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=783 loss=0.596669 margin=0.210498 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=791 loss=0.533460 margin=0.355503 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=799 loss=0.557108 margin=0.302871 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=807 loss=0.604347 margin=0.201296 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=815 loss=0.470003 margin=0.528802 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=823 loss=0.499313 margin=0.451880 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=831 loss=0.559957 margin=0.295222 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=839 loss=0.473611 margin=0.514815 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=847 loss=0.465275 margin=0.563295 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=855 loss=0.591009 margin=0.242833 preference_accuracy=0.7500
__main__ - INFO - epoch=0 step=863 loss=0.535508 margin=0.387830 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=871 loss=0.475410 margin=0.526722 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=879 loss=0.502938 margin=0.457301 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=887 loss=0.571106 margin=0.274836 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=895 loss=0.474877 margin=0.508161 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=903 loss=0.507675 margin=0.415240 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=911 loss=0.521920 margin=0.392714 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=919 loss=0.556169 margin=0.315129 preference_accuracy=0.7500
__main__ - INFO - epoch=0 step=927 loss=0.556852 margin=0.330693 preference_accuracy=0.7500
__main__ - INFO - epoch=0 step=935 loss=0.475378 margin=0.500988 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=943 loss=0.538226 margin=0.366056 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=951 loss=0.535169 margin=0.371162 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=959 loss=0.514713 margin=0.410350 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=967 loss=0.459978 margin=0.566665 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=975 loss=0.490486 margin=0.460779 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=983 loss=0.447087 margin=0.584570 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=991 loss=0.505947 margin=0.428830 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=999 loss=0.506143 margin=0.432652 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=1007 loss=0.481191 margin=0.500108 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=1015 loss=0.572329 margin=0.284139 preference_accuracy=0.7500
__main__ - INFO - epoch=0 step=1023 loss=0.409134 margin=0.708063 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=1031 loss=0.518531 margin=0.425001 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=1039 loss=0.467071 margin=0.524428 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=1047 loss=0.466935 margin=0.536079 preference_accuracy=1.0000
